2	01000000
2	00000000
3	00100000
3	00000000
4	00010000
4	00000000
5	00001000
5	00000000
6	00000100
6	00000000
7	00000010
7	00000000
8	00000001
8	00000000
7	00000010
7	00000000
6	00000100
6	00000000
5	00001000
5	00000000
4	00010000
4	00000000
3	00100000
3	00000000
2	01000000
2	00000000
1	10000000
1	00000000
2	01000000
2	00000000
3	00100000
3	00000000
4	00010000
4	00000000
5	00001000
5	00000000
6	00000100
6	00000000
7	00000010
7	00000000
8	00000001
8	00000000
7	00000010
7	00000000
6	00000100
6	00000000
5	00001000
5	00000000
4	00010000
4	00000000
3	00100000
3	00000000
2	01000000
2	00000000
1	10000000
